fixture_id,league,team_name,team_id,location,real_team_winner,pred_percent_home,pred_percent_draw,pred_percent_away,pred_home_win,pred_home_win_draw,pred_away_win,pred_away_win_draw,predicted_goals_home,predicted_goals_away,pred_draw,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Red Cards,expected_goals,goals_prevented,bookmaker_used,goals_over/under_over_2.5,goals_over/under_over_2.5_prob,goals_over/under_under_2.5,goals_over/under_under_2.5_prob,odds_team_win,odds_draw,corners_over_under_over_10.5,corners_over_under_over_10.5_prob,corners_over_under_under_10.5,corners_over_under_under_10.5_prob
1405332,Primera División,Cultural Santa Rosa,2572,away,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391871,Primera División,Universitario,2540,home,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391871,Primera División,Comerciantes Unidos,2558,away,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208314,Premier League,Arsenal,42,home,home,0.45,0.45,0.1,True,True,False,False,-2.5,-2.5,False,4.0,6.0,17.0,7.0,15.0,2.0,2.0,5.0,5.0,51%,1.0,2.0,479.0,431.0,90%,,2.38,0.0,,,,,,,,,,,
1208314,Premier League,Fulham,36,away,home,0.45,0.45,0.1,True,True,False,False,-2.5,-2.5,False,3.0,4.0,9.0,2.0,8.0,1.0,10.0,4.0,0.0,49%,2.0,3.0,473.0,408.0,86%,,0.99,0.0,,,,,,,,,,,
1208316,Premier League,Nottingham Forest,65,home,home,0.35,0.35,0.3,True,True,False,False,-2.5,-2.5,False,2.0,4.0,8.0,2.0,6.0,2.0,5.0,3.0,1.0,32%,1.0,5.0,310.0,227.0,73%,,0.48,0.0,,,,,,,,,,,
1208316,Premier League,Manchester United,33,away,home,0.35,0.35,0.3,True,True,False,False,-2.5,-2.5,False,6.0,9.0,23.0,8.0,16.0,7.0,12.0,10.0,1.0,68%,3.0,1.0,649.0,559.0,86%,,1.63,0.0,,,,,,,,,,,
1208317,Premier League,Wolves,39,home,home,0.1,0.45,0.45,False,False,True,True,-2.5,-2.5,False,2.0,6.0,9.0,1.0,4.0,5.0,16.0,1.0,1.0,41%,4.0,1.0,406.0,328.0,81%,,1.18,0.0,,,,,,,,,,,
1208317,Premier League,West Ham,48,away,home,0.1,0.45,0.45,False,False,True,True,-2.5,-2.5,False,1.0,7.0,10.0,2.0,8.0,2.0,12.0,2.0,0.0,59%,2.0,1.0,572.0,488.0,85%,,1.34,0.0,,,,,,,,,,,
1208739,La Liga,Rayo Vallecano,728,home,draw,0.1,0.45,0.45,False,False,True,True,-1.5,-1.5,False,5.0,3.0,10.0,2.0,3.0,7.0,16.0,4.0,2.0,55%,3.0,2.0,450.0,358.0,80%,,0.56,-1.0,,,,,,,,,,,
1208739,La Liga,Real Sociedad,548,away,draw,0.1,0.45,0.45,False,False,True,True,-1.5,-1.5,False,4.0,1.0,8.0,3.0,3.0,5.0,9.0,4.0,5.0,45%,2.0,3.0,362.0,270.0,75%,,0.57,-1.0,,,,,,,,,,,
1208304,Premier League,Arsenal,42,home,home,0.45,0.45,0.1,True,True,False,False,-2.5,-2.5,False,4.0,6.0,12.0,2.0,9.0,3.0,10.0,5.0,2.0,41%,3.0,2.0,346.0,292.0,84%,,0.77,0.0,,,,,,,,,,,
1208304,Premier League,Chelsea,49,away,home,0.45,0.45,0.1,True,True,False,False,-2.5,-2.5,False,2.0,3.0,8.0,3.0,3.0,5.0,13.0,4.0,1.0,59%,3.0,4.0,508.0,441.0,87%,,0.35,0.0,,,,,,,,,,,
1208309,Premier League,Leicester,46,home,away,0.0,0.5,0.5,False,False,True,True,-1.5,-2.5,False,3.0,2.0,11.0,6.0,7.0,4.0,6.0,6.0,4.0,54%,2.0,2.0,515.0,431.0,84%,,1.12,0.0,,,,,,,,,,,
1208309,Premier League,Manchester United,33,away,away,0.0,0.5,0.5,False,False,True,True,-1.5,-2.5,False,5.0,8.0,18.0,5.0,7.0,11.0,6.0,4.0,2.0,46%,0.0,3.0,451.0,355.0,79%,,0.78,0.0,,,,,,,,,,,
1208743,La Liga,Osasuna,727,home,away,0.1,0.45,0.45,False,False,True,True,-2.5,-2.5,False,4.0,5.0,12.0,3.0,11.0,1.0,19.0,3.0,2.0,62%,2.0,1.0,452.0,377.0,83%,0.0,1.64,0.0,,,,,,,,,,,
1208743,La Liga,Getafe,546,away,away,0.1,0.45,0.45,False,False,True,True,-2.5,-2.5,False,4.0,2.0,7.0,1.0,5.0,2.0,15.0,2.0,2.0,38%,4.0,3.0,286.0,208.0,73%,1.0,0.51,0.0,,,,,,,,,,,
1223875,Serie A,Atalanta,499,home,away,0.1,0.45,0.45,False,False,True,True,-3.5,-2.5,False,3.0,7.0,16.0,6.0,9.0,7.0,11.0,2.0,0.0,50%,3.0,2.0,445.0,366.0,82%,1.0,0.66,0.0,,,,,,,,,,,
1223875,Serie A,Inter,505,away,away,0.1,0.45,0.45,False,False,True,True,-3.5,-2.5,False,5.0,6.0,14.0,3.0,11.0,3.0,14.0,6.0,3.0,50%,3.0,3.0,455.0,379.0,83%,1.0,2.39,0.0,,,,,,,,,,,
1223881,Serie A,AS Roma,497,home,home,0.5,0.5,0.0,True,False,False,False,-3.5,-1.5,False,1.0,7.0,13.0,5.0,8.0,5.0,4.0,8.0,0.0,61%,0.0,5.0,637.0,555.0,87%,,1.56,0.0,,,,,,,,,,,
1223881,Serie A,Cagliari,490,away,home,0.5,0.5,0.0,True,False,False,False,-3.5,-1.5,False,5.0,4.0,11.0,2.0,8.0,3.0,12.0,3.0,1.0,39%,2.0,0.0,403.0,318.0,79%,,0.82,0.0,,,,,,,,,,,
1223877,Serie A,Fiorentina,502,home,home,0.1,0.45,0.45,False,False,True,True,-1.5,-2.5,False,3.0,3.0,9.0,3.0,2.0,7.0,9.0,1.0,3.0,37%,2.0,2.0,347.0,278.0,80%,,0.40,-1.0,,,,,,,,,,,
1223877,Serie A,Juventus,496,away,home,0.1,0.45,0.45,False,False,True,True,-1.5,-2.5,False,2.0,3.0,11.0,6.0,6.0,5.0,13.0,6.0,0.0,63%,3.0,0.0,594.0,529.0,89%,,0.85,-1.0,,,,,,,,,,,
1223876,Serie A,Bologna,500,home,home,0.1,0.45,0.45,False,False,True,True,-2.5,-2.5,False,7.0,3.0,13.0,3.0,10.0,3.0,18.0,7.0,0.0,52%,2.0,2.0,467.0,401.0,86%,,2.18,-1.0,,,,,,,,,,,
1223876,Serie A,Lazio,487,away,home,0.1,0.45,0.45,False,False,True,True,-2.5,-2.5,False,2.0,2.0,7.0,3.0,4.0,3.0,16.0,1.0,2.0,48%,3.0,2.0,442.0,375.0,85%,,0.47,-1.0,,,,,,,,,,,
1208740,La Liga,Sevilla,536,home,away,0.1,0.45,0.45,False,False,True,True,-2.5,-2.5,False,4.0,6.0,11.0,1.0,5.0,6.0,13.0,4.0,1.0,61%,4.0,3.0,508.0,417.0,82%,,0.46,0.0,,,,,,,,,,,
